
1.042,0.934,0.989
1.042,0.931,0.988
1.042,0.937,0.991
1.034,0.934,0.991
1.042,0.934,0.989
1.042,0.934,0.991
1.038,0.931,0.988
1.038,0.934,0.991
1.034,0.931,0.991
1.038,0.934,0.991
1.038,0.931,0.986
1.038,0.931,0.988
1.042,0.929,0.989
1.038,0.934,0.991
1.034,0.929,0.993
1.042,0.934,0.991
1.038,0.929,0.988
1.042,0.934,0.989
1.034,0.926,0.988
1.031,0.929,0.993
1.038,0.931,0.988
1.034,0.929,0.989
1.038,0.934,0.986
1.038,0.934,0.988
1.038,0.934,0.991
1.038,0.940,0.993
1.042,0.934,0.989
1.042,0.931,0.984
1.042,0.917,0.988
1.038,0.929,0.986
1.034,0.923,0.989
1.042,0.926,0.988
1.042,0.931,0.988
1.034,0.923,0.984
1.038,0.923,0.986
1.038,0.926,0.988
1.042,0.929,0.988
1.038,0.929,0.995
1.042,0.923,0.986
1.042,0.923,0.984
1.042,0.929,0.986
1.038,0.929,0.991
1.038,0.923,0.986
1.042,0.923,0.984
1.042,0.926,0.988
1.042,0.917,0.989
1.042,0.923,0.991
1.042,0.926,0.986
1.038,0.923,0.986
1.042,0.926,0.986
1.042,0.923,0.988
1.042,0.923,0.989
1.042,0.926,0.984
1.038,0.923,0.989
1.045,0.917,0.988
1.042,0.923,0.986
1.042,0.926,0.988
1.042,0.920,0.991
1.042,0.923,0.991
1.042,0.923,0.988
1.042,0.926,0.986
1.038,0.917,0.984
1.042,0.926,0.988
1.042,0.923,0.984
1.042,0.917,0.986
1.042,0.917,0.988
1.042,0.917,0.988
1.042,0.926,0.986
1.042,0.917,0.986
1.042,0.926,0.986
1.042,0.917,0.986
1.042,0.923,0.988
1.042,0.920,0.986
1.038,0.920,0.986
1.038,0.923,0.988
1.042,0.923,0.988
1.042,0.917,0.986
1.042,0.923,0.988
1.042,0.914,0.988
1.042,0.912,0.986
1.042,0.912,0.988
1.038,0.917,0.988
1.038,0.917,0.988
1.038,0.917,0.991
1.038,0.914,0.988
1.042,0.912,0.986
