
0.992,1.038,0.999
0.992,1.033,0.999
0.992,1.033,1.004
0.986,1.033,1.004
0.992,1.023,1.002
0.998,1.033,1.001
0.986,1.043,1.001
0.980,1.033,1.004
0.998,1.033,0.999
0.998,1.038,1.004
0.986,1.028,1.001
0.992,1.043,1.001
0.986,1.038,1.002
0.986,1.033,1.001
0.992,1.043,0.997
0.992,1.038,1.001
0.998,1.043,0.993
0.998,1.023,1.004
0.426,0.497,0.686
0.652,0.574,0.862
0.628,0.425,0.831
0.604,0.570,0.815
0.731,0.707,0.884
0.914,0.725,0.950
0.727,0.826,0.868
0.751,0.699,0.878
0.789,0.634,0.892
0.692,0.546,0.855
0.669,0.668,0.840
0.683,0.730,0.846
0.680,0.685,0.853
0.639,0.689,0.852
0.599,0.595,0.867
0.522,0.508,0.870
0.467,0.467,0.873
0.417,0.438,0.871
0.370,0.411,0.871
0.322,0.440,0.859
0.293,0.383,0.881
0.272,0.414,0.878
0.250,0.406,0.889
0.235,0.403,0.887
0.221,0.397,0.884
0.209,0.379,0.887
0.200,0.342,0.892
0.190,0.333,0.895
0.183,0.336,0.895
0.176,0.319,0.895
0.173,0.326,0.895
0.171,0.337,0.890
0.166,0.346,0.887
0.162,0.346,0.885
0.161,0.341,0.892
0.161,0.313,0.894
0.159,0.361,0.882
0.158,0.342,0.890
0.154,0.326,0.892
0.152,0.321,0.895
0.152,0.316,0.895
0.152,0.319,0.895
0.151,0.305,0.895
0.150,0.308,0.894
0.149,0.315,0.894
0.149,0.316,0.895
0.150,0.314,0.894
0.149,0.315,0.892
0.147,0.290,0.895
0.146,0.299,0.895
0.143,0.331,0.890
0.142,0.333,0.890
0.142,0.335,0.890
0.142,0.335,0.892
0.143,0.339,0.892
0.144,0.339,0.892
0.145,0.339,0.892
0.144,0.341,0.895
0.145,0.342,0.892
0.147,0.355,0.895
0.149,0.328,0.867
0.149,0.331,0.879
0.149,0.346,0.885
0.147,0.332,0.884
0.146,0.332,0.884
0.142,0.328,0.884
0.140,0.329,0.887
0.136,0.321,0.884
0.136,0.323,0.894
0.134,0.326,0.895
0.133,0.326,0.897
0.132,0.329,0.895
0.132,0.331,0.895
0.133,0.337,0.897
0.134,0.334,0.895
0.134,0.329,0.898
0.133,0.327,0.903
0.132,0.330,0.898
0.132,0.331,0.898
0.133,0.329,0.897
0.134,0.327,0.894
0.136,0.326,0.892
0.135,0.326,0.895
0.136,0.329,0.897
0.137,0.330,0.898
0.134,0.329,0.895
0.133,0.329,0.898
0.134,0.334,0.910
0.134,0.333,0.905
0.134,0.335,0.913
0.135,0.333,0.905
0.140,0.334,0.913
0.143,0.339,0.913
0.151,0.344,0.917
0.156,0.347,0.925
0.151,0.342,0.918
0.147,0.326,0.847
0.146,0.331,0.874
0.146,0.332,0.874
0.150,0.335,0.889
0.149,0.312,0.892
0.152,0.301,0.895
0.157,0.303,0.895
0.160,0.301,0.894
0.164,0.304,0.894
0.172,0.305,0.887
